# Format: roman<SPACE>unicode
# Nepali Translator – word-level override dictionary
# Lines starting with # are comments.
# roman → Devanagari entries (foreign words / special tokens)

kal             कल
telecom         टेलिकम
plan            प्लान
sms             एसएमएस
SMS             एसएमएस
aum             ॐ
OM              ॐ
hudai           हुँदै
nepal           नेपाल
Nepal           नेपाल
kathmandu       काठमाडौं
Kathmandu       काठमाडौं
bibek           विवेक
vivek           विवेक
pandey          पाण्डे
facebook        फेसबुक
twitter         ट्विटर
instagram       इन्स्टाग्राम
messenger       मेसेन्जर
laptop          ल्याप्टप
phone           फोन
code            कोड
google          गूगल
message         मेसेज
hola            होला
gas             ग्यास
garage          ग्यारेज
radio           रेडियो
cool            कूल
fun             फन
number          नम्बर
one             एक
two             दुई
three           तीन
four            चार
five            पाँच
six             छ
seven           सात
eight           आठ
nine            नौ
ten             दश
eleven          एघार
twelve          बाह्र
thirteen        तेह्र
fourteen        चौध
fifteen         पन्ध्र
sixteen         सोह्र
seventeen       सत्र
eighteen        अठार
nineteen        उन्नाइस
twenty          बिस
thirty          तीस
forty           चालीस
fifty           पचास
sixty           साठी
seventy         सत्तरी
eighty          असी
ninety          नब्बे
hundred         सय
thousand        हजार
million         दस लाख
billion         अर्ब
internet        इन्टरनेट
computer        कम्प्युटर
software        सफ्टवेयर
hardware        हार्डवेयर
supermarket     सुपरमार्केट
grocery         ग्रोसरी
share           शेयर
stock           स्टक
stockmarket     स्टकमार्केट
debenture       डिबेन्चर
bond            बन्ड
telephone       टेलिफोन
mobile          मोबाइल
smartphone      स्मार्टफोन
android         एन्ड्रोइड
ios             आईओएस
iphone          आईफोन
samsung         सैमसंग
nokia           नोकिया
